year,month,product,price_avg,date
2020,1,사과,1830.2572496930372,2020-01-01
2020,2,사과,1581.7468965192477,2020-02-01
2020,3,사과,1807.050641290063,2020-03-01
2020,4,사과,2228.9472886391404,2020-04-01
2020,6,사과,3396.870550281056,2020-06-01
2020,7,사과,2889.003488042741,2020-07-01
2020,8,사과,2569.98465505769,2020-08-01
2020,9,사과,2945.6135173474395,2020-09-01
2020,10,사과,2795.30168641788,2020-10-01
2020,11,사과,2359.1620147547183,2020-11-01
2020,12,사과,2702.275476652788,2020-12-01
2021,1,사과,3230.097198210898,2021-01-01
2021,2,사과,3740.452653422397,2021-02-01
2021,3,사과,2957.660416711309,2021-03-01
2021,4,사과,2787.1141785871023,2021-04-01
2021,5,사과,2566.219562130281,2021-05-01
2021,6,사과,2105.284698031862,2021-06-01
2021,7,사과,1448.8224787577988,2021-07-01
2021,8,사과,1856.1362623060556,2021-08-01
2021,9,사과,1752.8769562480502,2021-09-01
2021,10,사과,2188.791233484275,2021-10-01
2021,11,사과,1856.0026678364932,2021-11-01
2021,12,사과,1911.8024365176743,2021-12-01
2022,1,사과,2408.6401559816063,2022-01-01
2022,2,사과,1840.4864611012408,2022-02-01
2022,3,사과,1880.5281921680748,2022-03-01
2022,4,사과,1981.3355467013669,2022-04-01
2022,5,사과,2089.2207837836995,2022-05-01
2022,6,사과,2498.526882779646,2022-06-01
2022,7,사과,2486.4023580283274,2022-07-01
2022,8,사과,2413.1951057172387,2022-08-01
2022,9,사과,2006.4629749423104,2022-09-01
2022,10,사과,2375.5585879213263,2022-10-01
2022,11,사과,1924.111742365703,2022-11-01
2022,12,사과,1976.95344173252,2022-12-01
2023,1,사과,2510.975551334362,2023-01-01
2023,2,사과,2085.845368678227,2023-02-01
2023,3,사과,2379.484598836648,2023-03-01
2023,4,사과,2656.968378691809,2023-04-01
2023,5,사과,3141.6069136141323,2023-05-01
2023,6,사과,4136.494871592277,2023-06-01
2023,7,사과,3172.149505212141,2023-07-01
2023,8,사과,4588.787012151184,2023-08-01
2023,9,사과,4504.077252368344,2023-09-01
2023,10,사과,4370.3156688625,2023-10-01
2023,11,사과,3756.731245491913,2023-11-01
2023,12,사과,4098.909936817547,2023-12-01
2024,1,사과,4997.455343483935,2024-01-01
2024,2,사과,5566.048256800022,2024-02-01
2024,3,사과,5623.346546050166,2024-03-01
2024,4,사과,5826.228012312578,2024-04-01
2024,5,사과,5605.075837053631,2024-05-01
2024,6,사과,4821.654059223493,2024-06-01
2024,7,사과,3137.0407177545108,2024-07-01
2024,8,사과,3663.931128921404,2024-08-01
2024,9,사과,2729.875858922843,2024-09-01
2024,10,사과,3293.6918988975917,2024-10-01
2024,11,사과,3393.0965399039,2024-11-01
2024,12,사과,3789.1733779418096,2024-12-01
2020,1,감귤,1231.4782972814378,2020-01-01
2020,2,감귤,1973.054880182436,2020-02-01
2020,3,감귤,3559.355811902537,2020-03-01
2020,4,감귤,5195.582192731615,2020-04-01
2020,6,감귤,5321.432545514532,2020-06-01
2020,7,감귤,5891.097988519277,2020-07-01
2020,8,감귤,5291.765236685634,2020-08-01
2020,9,감귤,4765.722854736333,2020-09-01
2020,10,감귤,1242.6108841663472,2020-10-01
2020,11,감귤,1048.7312488332925,2020-11-01
2020,12,감귤,1057.5464364486768,2020-12-01
2021,1,감귤,1279.886159865711,2021-01-01
2021,2,감귤,1438.8943413380189,2021-02-01
2021,3,감귤,2264.0088966939998,2021-03-01
2021,4,감귤,4426.950188261824,2021-04-01
2021,5,감귤,6585.939577627153,2021-05-01
2021,6,감귤,5938.084719747359,2021-06-01
2021,7,감귤,4802.1395387033945,2021-07-01
