작목, 수량(Kg), 총수입(원), 경영비(원), 소득(원), 소득률(%), 시설여부
사과, 2066, 8852139, 3823247, 5028892, 56.8, 0
노지감귤, 2557, 5196222, 1903310, 3292913, 63.4, 0
노지수박, 4447, 4523275, 2273084, 2250191, 49.7, 0
시설수박, 4562, 7029381, 3287730, 3741651, 53.2, 1
배, 2448, 7265401, 3641190, 3624211, 49.9, 0
시설포도, 1632, 15427657, 6323322, 9104335, 59.0, 1
노지포도, 1545, 10642010, 4213986, 6428025, 60.4, 0
양파, 6787, 5077135, 2274485, 2802649, 55.2, 0
노지대파, 3769, 4352848, 1770456, 2582392, 59.3, 0 
시설오이, 9974, 22729042, 12018109, 10710933, 47.1, 1
시설상추, 3062, 11087540, 6119823, 4967717, 44.8, 1
고구마, 1812, 4108604, 2023417, 2085187, 50.8, 0 
