MTC_NM,PDLT_NM,VOLUME_KG,rank
강원 강릉시,배추,15182543.8,1
강원 강릉시,무,4219027.0,2
강원 강릉시,사과,1652763.0,3
강원 고성군,피망(단고추),1614580.0,1
강원 고성군,양배추,121394.0,2
강원 고성군,방울토마토,41562.0,3
강원 삼척시,배추,3318413.2,1
강원 삼척시,양배추,1468200.0,2
강원 삼척시,풋고추,1209559.5,3
강원 양구군,수박,5976301.0,1
강원 양구군,오이,4831696.6,2
강원 양구군,무,768004.0,3
강원 양양군,배추,45340.0,1
강원 영월군,배추,5410148.0,1
강원 영월군,사과,2089542.0,2
강원 영월군,무,948908.0,3
강원 원주시,복숭아,2881997.1,1
강원 원주시,배,1446980.0,2
강원 원주시,대파,1035805.9,3
강원 인제군,풋고추,6599928.14,1
강원 인제군,배추,2363444.8,2
강원 인제군,토마토,2320239.0,3
강원 정선군,배추,8220225.0,1
강원 정선군,양배추,5128356.0,2
강원 정선군,사과,2119980.0,3
강원 철원군,파프리카,7016164.1,1
강원 철원군,토마토,3124284.5,2
강원 철원군,대파,2444660.0,3
강원 춘천시,무,12473190.8,1
강원 춘천시,토마토,10944573.9,2
강원 춘천시,배추,6738465.2,3
강원 태백시,배추,10180000.0,1
강원 태백시,양배추,1800648.0,2
강원 태백시,무,425508.0,3
강원 평창군,무,48020177.400000006,1
강원 평창군,배추,45526431.38,2
강원 평창군,감자,41568857.5,3
강원 홍천군,무,24006811.9,1
강원 홍천군,오이,10495513.8,2
강원 홍천군,호박,7056522.800000001,3
강원 화천군,호박,537879.0,1
강원 화천군,달래,435973.55,2
강원 화천군,복숭아,367215.0,3
강원 횡성군,배추,9299554.7,1
강원 횡성군,양상추,5071033.199999999,2
강원 횡성군,감자,2607096.9,3
경기 가평군,대파,1171300.0,1
경기 가평군,포도,215290.5,2
경기 가평군,얼갈이배추,63252.0,3
경기 고양시,열무,7427129.1,1
경기 고양시,얼갈이배추,7363707.0,2
경기 고양시,시금치,1989260.5,3
경기 광명시,미나리,360484.0,1
경기 광명시,열무,103282.0,2
경기 광명시,얼갈이배추,49982.5,3
경기 광주시,오이,467236.0,1
경기 광주시,가지,213253.0,2
경기 광주시,느타리버섯,154850.0,3
경기 구리시,대파,4516996.0,1
경기 구리시,양파,1263160.5,2
경기 구리시,고구마,1162590.0,3
경기 김포시,미나리,589995.5,1
경기 김포시,대파,437719.0,2
경기 김포시,열무,148390.0,3
경기 남양주시,열무,1855212.0,1
경기 남양주시,얼갈이배추,1733141.0,2
경기 남양주시,대파,1470540.0,3
경기 동두천시,열무,1300567.8,1
경기 동두천시,무,441560.5,2
경기 동두천시,갓,277258.6,3
경기 부천시,무,2008648.0,1
경기 부천시,미나리,344382.0,2
경기 부천시,대파,126944.0,3
경기 성남시,알타리무,172690.0,1
경기 성남시,청경채,95872.0,2
경기 성남시,케일,50140.0,3
경기 수원시,대파,1495471.0,1
경기 수원시,알타리무,1194582.0,2
경기 수원시,배,818732.8,3
경기 시흥시,미나리,555016.5,1
경기 시흥시,마늘,308958.2,2
경기 시흥시,쪽파,93201.5,3
경기 안산시,포도,1160608.5,1
경기 안산시,열무,981618.5,2
경기 안산시,오이,693684.4,3
경기 안성시,배,5787800.3,1
경기 안성시,오이,4386937.5,2
경기 안성시,양파,1381629.5,3
경기 안양시,오이,2111016.0,1
경기 안양시,방울토마토,992133.0,2
경기 안양시,얼갈이배추,793530.0,3
경기 양주군,대파,99210.0,1
경기 양주군,감자,20000.0,2
경기 양주군,오이,16263.0,3
경기 양주시,오이,14184516.5,1
경기 양주시,호박,12519656.8,2
경기 양주시,양파,1181765.0,3
경기 양평군,느타리버섯,5606584.4,1
경기 양평군,수박,2263724.0,2
경기 양평군,오이,1191135.0,3
경기 여주군,가지,18657397.46,1
경기 여주군,고구마,10906803.8,2
경기 여주군,느타리버섯,3464423.0,3
경기 연천군,오이,5336732.3,1
경기 연천군,호박,2885854.0,2
경기 연천군,배추,759128.5,3
경기 오산시,오이,61640.0,1
경기 오산시,배,37807.5,2
경기 오산시,방울토마토,24322.0,3
경기 용인시,청경채,4535044.7,1
경기 용인시,얼갈이배추,2030563.7,2
경기 용인시,수박,1199497.0,3
경기 의왕시,무순,261693.65,1
경기 의왕시,표고버섯,48744.0,2
경기 의왕시,열무,22412.2,3
경기 이천시,고구마,7537330.0,1
경기 이천시,호박,3738308.3,2
경기 이천시,청경채,3281184.0,3
경기 파주시,오이,2063789.0,1
경기 파주시,열무,1104937.4,2
경기 파주시,양파,803877.0,3
경기 평택시,배,6786956.9,1
경기 평택시,수박,2705088.0,2
경기 평택시,무,1581802.0,3
경기 포천시,얼갈이배추,2978892.0,1
경기 포천시,오이,2270135.0,2
경기 포천시,열무,2244652.0,3
경기 하남시,고구마,872220.0,1
